创意艺术	上海	女生,恋爱,男生,人品,女生,男生,外貌,颜值,人品,女生,男生,外貌,颜值,
	摩登中产	互联网,创新,历史,品牌,怀旧,人口,经济学,老龄化,计划生育,社会,人口,经济学,老龄化,计划生育,社会,
高等教育	英国	科技,金融,国家战略,区块链(Blockchain),知乎,知乎产品,科技,金融,国家战略,区块链(Blockchain),
	桂花糕	化妆,彩妆,粉底,散粉,化妆,洗脸,化妆,洗脸,
广告	电影	电影,剧本,电影制作,科幻电影,编剧,知乎,知乎社区,知乎使用,身份标识,优秀回答者（知乎功能）,电影,剧本,电影制作,科幻电影,编剧,
造纸业	上海	北京航空航天大学,自动控制,控制理论,机器人控制,航空航天,自动化,自动控制,控制理论,现代控制理论,自动化,自动控制,控制理论,现代控制理论,
互联网	北京市	管理,职业发展,年轻人,能力提升,中年危机,知乎,知乎社区,知乎使用,身份标识,优秀回答者（知乎功能）,管理,职业发展,年轻人,能力提升,中年危机,
汽车		提醒机制,高等教育,大学专业,学习经验,车辆工程,高等教育,大学专业,学习经验,车辆工程,
美容	西安	皮肤护理,美容护肤,美白专业人士,美白,身体乳,面膜,美容护肤,医学美容,面膜,美容护肤,医学美容,
临床医疗	小儿外科裴医生	育儿,育儿,儿科,药学,抗生素,医学,育儿,儿科,药学,抗生素,医学,
	与神桔世	游戏,手机游戏,明日方舟,ACG,二次元,夏目友人帐,ACG,二次元,夏目友人帐,
财务		二线城市,大城市,高三,香港,机场,记者,环球时报,香港,机场,记者,环球时报,
临床医疗	首都医科大学	婴儿,婴幼儿,母婴用品,新生儿,婴儿健康,婴儿,婴幼儿,母婴用品,新生儿,婴儿健康,
	带月荷锄归	经济,任正非（人物）,华为,社会,如何看待/评价 X,生活经历,宇宙,缸中之脑,脑洞（网络用语）,生活经历,宇宙,缸中之脑,脑洞（网络用语）,
高等教育	美国加州	Facebook,互联网数据分析,性格测试,剑桥大学(University of Cambridge),学术伦理,互联网,隐私保护,个人隐私,大数据,互联网,隐私保护,个人隐私,大数据,
养老服务	乌苏里斯克	创业,市场营销,商业,知乎,知乎社区,知乎使用,身份标识,优秀回答者（知乎功能）,创业,市场营销,商业,
	松鼠会Sheldon	生物学,诺贝尔奖,医学,诺贝尔生理学或医学奖,2019 年诺贝尔奖,物理学,天文学,诺贝尔奖,诺贝尔物理学奖,2019 年诺贝尔奖,物理学,天文学,诺贝尔奖,诺贝尔物理学奖,2019 年诺贝尔奖,
	你要控几你技几	哲学,科幻,信仰,唯物主义（Materialism）,二元论,儒学,中国哲学,王阳明（王守仁）,儒学,中国哲学,王阳明（王守仁）,
	中国	诗词,背后的故事,古诗词,诗词歌赋,古典文学,诗句,短句,文字控,句子迷,句子,诗句,短句,文字控,句子迷,句子,
高等教育	香港特别行政区	调查类问题,相亲,找对象,颜值,知乎,知乎产品,调查类问题,相亲,找对象,颜值,
信息传媒		健康,历史,环境保护,科学,公共卫生,赌博理论,赌博,赌博心理,赌博理论,赌博,赌博心理,
法律	上海市	女性主义,婚姻,家庭,民法典,知乎,知乎社区,知乎使用,身份标识,优秀回答者（知乎功能）,女性主义,婚姻,家庭,民法典,
互联网	纽约	大学,金融,金融专业,知乎,知乎产品,大学,金融,金融专业,
	秦时老兵	社会,社会现象,社会心理学,癌症,肿瘤,心动,癌症,肿瘤,心动,
幼儿教育		心理学,育儿,儿童教育,儿童心理,幼儿园教师,知乎,知乎产品,心理学,育儿,儿童教育,儿童心理,幼儿园教师,
互联网	研究员	机械,机械专业,机械工程,机械,机械专业,机械工程,机械,机械专业,机械工程,
互联网	阜阳市	插画,手机壁纸,中国风,桌面壁纸,电脑壁纸,照片,对比,感慨,最 X 的照片,照片,对比,感慨,最 X 的照片,
医疗服务	日本千叶县千叶市中央区富士见1-14-13	日本,日本文化,日本生活,留学日本,知乎,知乎产品,日本,日本文化,日本生活,留学日本,
非营利组织	成都	哲学,认知科学,自由意志,哲学,悖论,逻辑,哲学,悖论,逻辑,
互联网	cotton	笔记本电脑,联想 (Lenovo),笔记本散热,购买笔记本电脑,拯救者 Y9000X,知乎,知乎产品,笔记本电脑,联想 (Lenovo),笔记本散热,购买笔记本电脑,拯救者 Y9000X,
	小鱼干儿	抑郁症,微信朋友圈,白日梦,行为艺术,带有假设的问题,脑洞（网络用语）,白日梦,行为艺术,带有假设的问题,脑洞（网络用语）,
体育健身	拉萨	健康,健身,运动,减肥,无氧运动,健身,健身技术,运动减肥,健身与减脂,美容健身,健身,健身技术,运动减肥,健身与减脂,美容健身,
基础教育	教师	诗歌,诗词赏析,诗句,原创诗词,签名,短句,个性签名,签名,短句,个性签名,
高等教育	西安	大学,留学,留学中介,中介,留学,研究生,留学申请,留学美国,美国研究生,留学,研究生,留学申请,留学美国,美国研究生,
互联网	美国	游戏,游戏推荐,游戏,单机游戏,生化奇兵（游戏）,生化奇兵2（游戏）,生化奇兵：无限（游戏）,游戏,单机游戏,生化奇兵（游戏）,生化奇兵2（游戏）,生化奇兵：无限（游戏）,
家具	湖南省	家具,家居,沙发,沙发,布艺沙发,布艺沙发十大品牌,沙发,布艺沙发,布艺沙发十大品牌,
	University of California	高等数学,方程,微分方程,常微分方程,微分中值定理,数学,代数,高中数学,数学,代数,高中数学,
服装业		噪音,道理,室友,脑洞（网络用语）,小说,写作,脑洞（网络用语）,以 X 为开头写作,写一个故事（知乎周刊）,小说,写作,脑洞（网络用语）,以 X 为开头写作,写一个故事（知乎周刊）,
	春雨医生	生活,调查类问题,人生,生活经历,编程,编程,
	FigureVideo	电影,导演,北野武,影视评论,如何看待/评价 X,知乎,知乎产品,电影,导演,北野武,影视评论,如何看待/评价 X,
	咕咚怪	小说,穿越,穿越小说,生活,心理,梦,做梦,梦的心理学,生活,心理,梦,做梦,梦的心理学,
	山东	银行贷款,房贷,贷款,知乎,知乎社区,知乎使用,身份标识,优秀回答者（知乎功能）,银行贷款,房贷,贷款,
互联网	北京	运动,生活方式,个人理财,财务自由,生活,朋友,人际交往,裝腔,装腔手册,生活,朋友,人际交往,裝腔,装腔手册,
计算机软件	David Chiang	佛教,宗教,佛学,佛教,大乘佛教,佛学,佛教,大乘佛教,佛学,
金融	北京	香港,机场,记者,环球时报,小米科技,雷军（人物）,股价波动,小米手机,股市分析,小米科技,雷军（人物）,股价波动,小米手机,股市分析,
互联网	浙江省杭州市	销售,销售技巧,销售策略,渠道销售,知乎,知乎产品,销售,销售技巧,销售策略,渠道销售,
	知识星球：https:\u002F\u002Ft.xiaomiquan.com\u002FUBMJMn6	房子,生活常识,金融,房屋租赁,手机,科技,一加科技 (OnePlus),一加手机,一加 7T,手机,科技,一加科技 (OnePlus),一加手机,一加 7T,
互联网	北京	大学生,赚钱,兼职,金融学,大学专业,金融,金融学,大学专业,金融,
	王克丹	房产税,楼市,征收,金融学,经济,信用卡,消费,信用卡套现,金融学,经济,信用卡,消费,信用卡套现,
临床医疗	北京	育儿,母婴,鼻涕,流鼻涕,知乎,知乎产品,育儿,母婴,鼻涕,流鼻涕,
		生活,调查类问题,宿舍,大学室友,深圳市,深圳市,
	西风	调查类问题,死刑,人权,中国,刑法,佛教,宗教,佛,佛教,宗教,佛,
教育	上海	外语,语言学,法语学习,法语,法语学习,法语翻译,法语,法语学习,法语翻译,
互联网		故事,心酸,知乎,知乎产品,故事,心酸,
基础教育	上海市	上海,儿童教育,社会现象,时事新闻,社会时事,小米科技,英语学习,米家,小爱老师,知乎众测,小米科技,英语学习,米家,小爱老师,知乎众测,
科研	日本	量子,诈骗,快速阅读,民间科学家,伪科学,知乎,知乎产品,量子,诈骗,快速阅读,民间科学家,伪科学,
	知乎电影	电影,影视评论,李安（导演）,双子杀手（电影）,知乎,知乎产品,电影,影视评论,李安（导演）,双子杀手（电影）,
电子游戏	上海	腾讯,游戏,科隆游戏展,Next Studios,重生边缘（游戏）,知乎,知乎产品,腾讯,游戏,科隆游戏展,Next Studios,重生边缘（游戏）,
政府	南昌市	家庭,孩子,父亲,怀孕女性,怀孕,遗憾,后悔,遗憾,后悔,
	俄罗斯	研究生,俄罗斯,莫斯科国立大学 (МГУ),留学俄罗斯,俄罗斯大学,知乎,知乎产品,研究生,俄罗斯,莫斯科国立大学 (МГУ),留学俄罗斯,俄罗斯大学,
咨询分析	广州市天河区珠江新城	抑郁症,抑郁,情绪心理学,焦虑,温柔,焦虑,温柔,
艺术娱乐	纽约	电影制作,留学美国,纽约大学 (New York University),美国本科留学,知乎,知乎产品,电影制作,留学美国,纽约大学 (New York University),美国本科留学,
医疗服务		知乎,视频直播,网络直播,知乎,知乎社区,直播,知乎直播,知乎,知乎社区,直播,知乎直播,
科研	美国	生物进化,进化论,人类学,生物学,民间科学家,知乎,知乎产品,生物进化,进化论,人类学,生物学,民间科学家,
	北京	语言,汉语,文言文,修辞,现代汉语,英语,字母,英文字母,英语,字母,英文字母,
	餐饮老板内参	视频,日本料理,知乎,知乎产品,视频,日本料理,
美容	杭州	生活,调查类问题,化妆品,基础护肤,美容护肤,乳液,美容护肤,18 岁,乳液,美容护肤,18 岁,
房地产	沈阳市	衣服,家用电器,烘干机,知乎,知乎产品,衣服,家用电器,烘干机,
	祖国的花朵	视频,猫,生活方式,宠物,美食,小吃,黑暗料理,美食,小吃,黑暗料理,
基础教育	北京市	宠物饲养,狗,养狗,宠物,宠物行为,宠物饲养,狗,养狗,宠物,宠物行为,
互联网	算法爱好者	飞机,航空,民航,航空安全,空难,抄袭,教育,学术,学术造假,抄袭,教育,学术,学术造假,
汽车	广州市	汽车,科技,第五代移动通信（5G）,智能汽车,自动驾驶,知乎,知乎社区,知乎使用,身份标识,优秀回答者（知乎功能）,汽车,科技,第五代移动通信（5G）,智能汽车,自动驾驶,
汽车	上海	租车,汽车租赁,融资租赁,知乎,知乎产品,租车,汽车租赁,融资租赁,
	长安	佛教,佛法,学佛,佛教,佛法,学佛,
教育		高三,高中学习,刷题,物理学,化学,科学家,医学,科学,物理学,化学,科学家,医学,科学,
服务业	悉尼 (Sydney)	美食,食物,吃,健康,育儿,亲子,医学,儿童健康,健康,育儿,亲子,医学,儿童健康,
	喵影工厂	美剧,婚姻,爱情,美剧推荐,致命女人（美剧）,知乎,知乎产品,美剧,婚姻,爱情,美剧推荐,致命女人（美剧）,
高新科技	南京	山东,青年,无人机（UAV）,16岁,民用无人机,奥特曼,奥特曼,
互联网	西安	香港,机场,记者,环球时报,音乐,生活,歌曲,中国,你好中国！,音乐,生活,歌曲,中国,你好中国！,
	上海	利率,统计学,回归分析,模型,回归模型,统计学,回归分析,模型,回归模型,
	AC建筑创作	城市,建筑设计,一线城市,城市建筑,知乎,知乎产品,城市,建筑设计,一线城市,城市建筑,
	羽毛球	羽毛球,羽毛球运动员,桃田贤斗,知乎,知乎社区,知乎使用,身份标识,优秀回答者（知乎功能）,羽毛球,羽毛球运动员,桃田贤斗,
咨询分析	曼彻斯特大学（The University of Manchester）	爱,爱自己,缺爱,相亲,婚恋,学霸相亲,介绍对象,相亲话题,相亲,婚恋,学霸相亲,介绍对象,相亲话题,
	大阪	上海,上海人,地域歧视,流言,确认偏误,汉服,古代服饰,民族服饰,汉服,古代服饰,民族服饰,
种植业	shengdiyage	香港,Twitter,NBA,休斯顿火箭（Houston Rockets）,达雷尔·莫雷（Daryl Morey）,互联网,NBA,休斯顿火箭（Houston Rockets）,亚当·萧华,达雷尔·莫雷（Daryl Morey）,互联网,NBA,休斯顿火箭（Houston Rockets）,亚当·萧华,达雷尔·莫雷（Daryl Morey）,
	人工智能	Python,算法,机器学习,能力,提升,知乎,知乎产品,Python,算法,机器学习,能力,提升,
	上海	中国足球,足球,中国国家男子足球队,2022 年卡塔尔世界杯,世界杯预选赛,跑步,慢跑,有氧运动,跑步,慢跑,有氧运动,
	北京	机器学习,贝叶斯网络,概率图模型,男装,T恤,男装品牌,品牌推荐,男装搭配,男装,T恤,男装品牌,品牌推荐,男装搭配,
	中国科学技术大学	物理学,凝聚态物理,固体物理,色散,知乎,知乎产品,物理学,凝聚态物理,固体物理,色散,
互联网	上海	知乎,知乎产品,
	长春	矫情,社会事件,新闻事件,韩国娱乐圈,90 后,学生,教师,90 后,学生,教师,
互联网		家庭,家庭关系,父亲,父爱,亲子关系,工业设计,设计,发明,调查类问题,创造,工业设计,设计,发明,调查类问题,创造,
	暖石	网站运营,互联网社区,地方社区,社会化电子商务,互联网社区运营,知乎,知乎产品,网站运营,互联网社区,地方社区,社会化电子商务,互联网社区运营,
互联网	郑州	PPT,图片,网站,PPT 设计,PPT 使用技巧,Microsoft Windows,Windows 应用软件,Microsoft Windows,Windows 应用软件,
科研	北京	字体,编程,Microsoft Visual Studio,等宽字体,Visual Studio Code,知乎,知乎社区,知乎使用,身份标识,优秀回答者（知乎功能）,字体,编程,Microsoft Visual Studio,等宽字体,Visual Studio Code,
金融	上海	管理,人力资源（HR）,职场,领导力,知乎,知乎社区,知乎使用,身份标识,优秀回答者（知乎功能）,管理,人力资源（HR）,职场,领导力,
临床医疗		感情,分手,爱情困惑,男女思维,两性心理学,知乎,知乎产品,感情,分手,爱情困惑,男女思维,两性心理学,
	乖乖	离婚,遗产继承,继承法,电脑游戏,游戏,网络游戏,手机游戏,游戏推荐,电脑游戏,游戏,网络游戏,手机游戏,游戏推荐,
高新科技	新加坡	图像处理,机器学习,数字信号处理,压缩感知,知乎,知乎产品,图像处理,机器学习,数字信号处理,压缩感知,
幼儿教育	上海	儿科,症状,医学,新生儿,黄疸,为人父母,育儿,母婴,婴儿,新生儿,为人父母,育儿,母婴,婴儿,新生儿,
